timestamp,src_ip,dst_ip,protocol,packet_size,src_port,dst_port,tcp_flags,ttl,label
1776596847.3022797,192.168.100.10,192.168.100.2,6,58,80,17989,18,64,normal
1776596995.822937,192.168.100.10,192.168.100.2,6,58,80,13087,18,64,normal
1776596840.0992172,192.168.100.2,192.168.100.10,6,54,25517,80,4,64,normal
1776596845.4114156,192.168.100.2,192.168.100.10,6,54,32515,80,2,64,normal
1776596848.3499146,192.168.100.2,192.168.100.10,6,54,18795,80,2,64,normal
1776596998.3945403,192.168.100.10,192.168.100.2,6,58,80,59436,18,64,normal
1776596836.8721519,192.168.100.2,192.168.100.10,6,54,1525,80,4,64,normal
1776596848.2656548,192.168.100.2,192.168.100.10,6,54,13487,80,2,64,normal
1776596838.8228433,192.168.100.2,192.168.100.10,6,54,24039,80,4,64,normal
1776596845.488687,192.168.100.10,192.168.100.2,6,58,80,41006,18,64,normal
1776596839.9183943,192.168.100.10,192.168.100.2,6,58,80,15593,18,64,normal
1776596844.863564,192.168.100.2,192.168.100.10,6,54,2619,80,2,64,normal
1776596829.3252678,192.168.100.10,192.168.100.2,6,54,1114,35997,20,64,normal
1776596844.106419,192.168.100.2,192.168.100.10,6,54,20536,80,4,64,normal
1776596841.4723155,192.168.100.2,192.168.100.10,6,54,29410,80,2,64,normal
1776596837.8827162,192.168.100.10,192.168.100.2,6,58,80,54794,18,64,normal
1776596839.5074272,192.168.100.2,192.168.100.10,6,54,60880,80,2,64,normal
1776597014.375049,192.168.100.2,192.168.100.10,6,54,20287,80,2,64,normal
1776596842.4502304,192.168.100.10,192.168.100.2,6,58,80,64570,18,64,normal
1776596839.9038405,192.168.100.2,192.168.100.10,6,54,14720,80,2,64,normal
1776596836.8725333,192.168.100.10,192.168.100.2,6,58,80,1513,18,64,normal
1776597018.0647376,192.168.100.2,192.168.100.10,6,54,28411,80,2,64,normal
1776596841.5762835,192.168.100.2,192.168.100.10,6,54,31588,80,4,64,normal
1776596838.5261316,192.168.100.10,192.168.100.2,6,58,80,12224,18,64,normal
1776596775.733002,192.168.100.10,192.168.100.2,1,98,0,0,0,64,normal
1776596843.2253084,192.168.100.10,192.168.100.2,6,58,80,35057,18,64,normal
1776596979.344584,192.168.100.10,192.168.100.2,6,54,139,60379,20,64,normal
1776597002.327172,192.168.100.10,192.168.100.2,6,58,80,60144,18,64,normal
1776596844.5287309,192.168.100.2,192.168.100.10,6,54,46119,80,2,64,normal
1776596837.7004507,192.168.100.2,192.168.100.10,6,54,46406,80,4,64,normal
1776596839.2882366,192.168.100.2,192.168.100.10,6,54,48782,80,2,64,normal
1776596997.7074924,192.168.100.2,192.168.100.10,6,54,28052,80,4,64,normal
1776596847.2263489,192.168.100.2,192.168.100.10,6,54,14252,80,2,64,normal
1776596843.7895408,192.168.100.10,192.168.100.2,6,58,80,454,18,64,normal
1776596842.9997213,192.168.100.2,192.168.100.10,6,54,21772,80,2,64,normal
1776596840.27283,192.168.100.2,192.168.100.10,6,54,38932,80,2,64,normal
1776596840.1115088,192.168.100.2,192.168.100.10,6,54,29728,80,2,64,normal
1776596846.2898862,192.168.100.10,192.168.100.2,6,58,80,24040,18,64,normal
1776597000.5587227,192.168.100.10,192.168.100.2,6,58,80,29290,18,64,normal
1776596848.3502831,192.168.100.2,192.168.100.10,6,54,18819,80,2,64,normal
1776596999.6172826,192.168.100.2,192.168.100.10,6,54,48301,80,2,64,normal
1776596841.4899807,192.168.100.2,192.168.100.10,6,54,28948,80,2,64,normal
1776596844.9308276,192.168.100.10,192.168.100.2,6,58,80,6931,18,64,normal
1776596840.9492662,192.168.100.2,192.168.100.10,6,54,5123,80,2,64,normal
1776596998.928037,192.168.100.2,192.168.100.10,6,54,14440,80,2,64,normal
1776597017.5068238,192.168.100.2,192.168.100.10,6,54,3369,80,2,64,normal
1776596836.876657,192.168.100.10,192.168.100.2,6,58,80,1529,18,64,normal
1776596840.3710797,192.168.100.10,192.168.100.2,6,58,80,44032,18,64,normal
1776596838.355266,192.168.100.2,192.168.100.10,6,54,6730,80,2,64,normal
1776596998.1043591,192.168.100.2,192.168.100.10,6,54,46183,80,4,64,normal
1776597000.378495,192.168.100.2,192.168.100.10,6,54,19816,80,2,64,normal
1776596848.8447714,192.168.100.10,192.168.100.2,6,58,80,49678,18,64,normal
