protocol,packet_size,src_port,dst_port,tcp_flags,ttl,pkts_per_sec,unique_dst_ports,avg_packet_size,std_packet_size,label
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,2,1,98.0,0.0,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,2,1,98.0,0.0,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,2,1,98.0,0.0,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,2,1,98.0,0.0,normal
1,98,0,0,0,64,2,1,98.0,0.0,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,2,1,98.0,0.0,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,2,1,98.0,0.0,normal
1,98,0,0,0,64,2,1,98.0,0.0,normal
1,98,0,0,0,64,2,1,98.0,0.0,normal
1,98,0,0,0,64,2,1,98.0,0.0,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,2,1,98.0,0.0,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,2,1,98.0,0.0,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,2,1,98.0,0.0,normal
1,98,0,0,0,64,2,1,98.0,0.0,normal
1,98,0,0,0,64,2,1,98.0,0.0,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,2,1,98.0,0.0,normal
1,98,0,0,0,64,2,1,98.0,0.0,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,2,1,98.0,0.0,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,1,1,98.0,,normal
1,98,0,0,0,64,2,1,98.0,0.0,normal
6,58,35997,445,2,59,1,1,58.0,,normal
6,58,35997,445,2,59,2,1,58.0,0.0,normal
6,54,21,35997,20,64,1,1,54.0,,normal
6,58,35997,111,2,46,3,2,58.0,0.0,normal
6,54,113,35997,20,64,2,1,54.0,0.0,normal
6,58,35997,554,2,49,4,3,58.0,0.0,normal
6,54,53,35997,20,64,3,1,54.0,0.0,normal
6,58,35997,587,2,45,5,4,58.0,0.0,normal
6,54,143,35997,20,64,4,1,54.0,0.0,normal
6,58,35997,1723,2,42,6,5,58.0,0.0,normal
6,58,35997,1025,2,49,7,6,58.0,0.0,normal
6,58,35997,995,2,59,8,7,58.0,0.0,normal
6,54,995,35997,20,64,5,1,54.0,0.0,normal
6,54,995,35997,20,64,6,1,54.0,0.0,normal
6,58,35997,8888,2,39,9,8,58.0,0.0,normal
6,58,35997,256,2,57,10,9,58.0,0.0,normal
6,54,22,35997,20,64,7,1,54.0,0.0,normal
6,58,35997,3389,2,50,11,10,58.0,0.0,normal
6,54,3389,35997,20,64,8,1,54.0,0.0,normal
6,58,35997,139,2,43,12,11,58.0,0.0,normal
6,54,110,35997,20,64,9,1,54.0,0.0,normal
6,58,35997,8080,2,44,13,12,58.0,0.0,normal
6,54,8080,35997,20,64,10,1,54.0,0.0,normal
6,58,35997,32768,2,53,14,13,58.0,0.0,normal
6,58,35997,32768,2,53,15,13,58.0,0.0,normal
6,58,35997,3001,2,44,17,14,58.0,0.0,normal
6,58,35997,3001,2,44,17,14,58.0,0.0,normal
6,58,35997,10004,2,48,19,15,58.0,0.0,normal
6,58,35997,10004,2,48,19,15,58.0,0.0,normal
6,54,10004,35997,20,64,11,1,54.0,0.0,normal
6,58,35997,783,2,57,21,16,58.0,0.0,normal
6,58,35997,783,2,57,21,16,58.0,0.0,normal
6,54,3052,35997,20,64,12,1,54.0,0.0,normal
6,58,35997,631,2,44,22,17,58.0,0.0,normal
6,54,631,35997,20,64,13,1,54.0,0.0,normal
6,58,35997,726,2,50,23,18,58.0,0.0,normal
6,54,726,35997,20,64,14,1,54.0,0.0,normal
6,54,3878,35997,20,64,15,1,54.0,0.0,normal
6,54,9081,35997,20,64,16,1,54.0,0.0,normal
6,54,407,35997,20,64,17,1,54.0,0.0,normal
6,58,35997,9081,2,59,24,19,58.0,0.0,normal
6,58,35997,1075,2,38,25,20,58.0,0.0,normal
6,54,524,35997,20,64,18,1,54.0,0.0,normal
6,58,35997,7019,2,43,26,21,58.0,0.0,normal
6,58,35997,544,2,55,27,22,58.0,0.0,normal
6,54,544,35997,20,64,19,1,54.0,0.0,normal
6,58,35997,1076,2,40,28,23,58.0,0.0,normal
6,58,35997,6547,2,48,29,24,58.0,0.0,normal
6,58,35997,8800,2,39,31,25,58.0,0.0,normal
6,58,35997,8800,2,39,31,25,58.0,0.0,normal
6,54,5822,35997,20,64,21,1,54.0,0.0,normal
6,54,5822,35997,20,64,21,1,54.0,0.0,normal
6,58,35997,9011,2,59,32,26,58.0,0.0,normal
6,58,35997,6646,2,52,33,27,58.0,0.0,normal
6,58,35997,7002,2,57,34,28,58.0,0.0,normal
6,54,9050,35997,20,64,22,1,54.0,0.0,normal
6,54,3283,35997,20,64,24,1,54.0,0.0,normal
